"nume","ids","cod","activitate","disciplină","coddist","nivel","act normativ","competență generală"
"Acordarea feedbackului pozitiv în relaționarea cu ceilalți","2.2.","consEd5-2.2","realizarea unui poster de tipul „Copacul recunoștinței” pentru a pune în valoare acele calități/comportamente care au fost identificate la ceilalți ca fiind surse de învățare/inspirație","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Relaționarea armonioasă cu ceilalți în contexte școlare și extrașcolare"
"Identificarea factorilor personali și de context care facilitează/blochează învățarea","3.1.","consEd5-3.1","analiza unor experiențe de învățare din viața elevilor (reușite sau nereușite) și identificarea factorilor care au sprijinit/frânat învățarea, precum și a contextelor în care greșeala a făcut parte din procesul de învățare prin conversație în perechi, discuții de grup, studii de caz, colaje, album foto, povestiri, filme familiare elevilor, liste de factori personali sau de context care facilitează/blochează învățarea","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Reflectarea asupra motivației și eficacității strategiilor pentru progres în învățare"
"Identificarea factorilor personali și de context care facilitează/blochează învățarea","3.1.","consEd5-3.1","experimentarea unor strategii și tehnici de învățare variate pentru a rezolva o sarcină de învățare în modalități cât mai diverse și reflectarea asupra preferințelor personale pentru una sau alta dintre strategii/tehnici","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Reflectarea asupra motivației și eficacității strategiilor pentru progres în învățare"
"Identificarea factorilor personali și de context care facilitează/blochează învățarea","3.1.","consEd5-3.1","completarea de fișe individuale, postere, prezentări, formularea de întrebări pentru identificarea intereselor și motivațiilor de învățare pentru anumite domenii de cunoaștere și a tehnicilor de învățare adecvate","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Reflectarea asupra motivației și eficacității strategiilor pentru progres în învățare"
"Prezentarea progreselor în învățare, utilizând modalități variate de comunicare","3.2.","consEd5-3.2","elaborarea unor fișe personale care să includă pașii necesari pregătirii zilnice pentru școală","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Reflectarea asupra motivației și eficacității strategiilor pentru progres în învățare"
"Prezentarea progreselor în învățare, utilizând modalități variate de comunicare","3.2.","consEd5-3.2","prezentarea unei reușite personale în mediul școlar și extrașcolar utilizând modalități variate de comunicare: prezentări electronice, albume foto, postere","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Reflectarea asupra motivației și eficacității strategiilor pentru progres în învățare"
"Prezentarea progreselor în învățare, utilizând modalități variate de comunicare","3.2.","consEd5-3.2","evaluarea în perechi/în grup a rezultatelor învățării colegilor și oferirea unui feedback pentru recunoașterea progreselor celorlalți","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Reflectarea asupra motivației și eficacității strategiilor pentru progres în învățare"
"Prezentarea progreselor în învățare, utilizând modalități variate de comunicare","3.2.","consEd5-3.2","realizarea primilor pași în constituirea progresivă a portofoliului personal de învățare: exprimarea opțiunilor elevilor pentru formatul portofoliului, negocierea regulilor de constituire a acestuia, identificarea rezultatelor/categoriilor de rezultate ale învățării pe care le pot introduce, planificarea unor evenimente de prezentare a portofoliilor la final de semestru/an școlar","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Reflectarea asupra motivației și eficacității strategiilor pentru progres în învățare"
"Recunoașterea oportunităților pe care le oferă educaţia pentru alegerea carierei","4.1.","consEd5-4.1","discuţii în perechi/echipe: „De ce mergem la școală? ”, „Școala mea – cum mi-ar plăcea să fie la școală/în clasa mea? ”, „Ce îmi place cel mai mult/cel mai puțin la școală? ”","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Luarea deciziilor legate de continuarea studiilor şi carieră prin valorificarea informațiilor despre sine, educație și ocupații"
"Recunoașterea oportunităților pe care le oferă educaţia pentru alegerea carierei","4.1.","consEd5-4.1","exerciții de corelare a disciplinelor școlare cu profesii pentru care este necesară studierea acestora: „La ce ne folosește studiul istoriei/matematicii/muzicii etc.? ”, „Dacă aș fi șofer/asistentă medicală/ inginer etc. ce ar trebui să știu/să știu să fac/să învăț la școală? ” și introducerea rezultatelor în portofoliul personal de învățare","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Luarea deciziilor legate de continuarea studiilor şi carieră prin valorificarea informațiilor despre sine, educație și ocupații"
"Recunoașterea oportunităților pe care le oferă educaţia pentru alegerea carierei","4.1.","consEd5-4.1","organizarea unor expoziții de postere, colaje cu fotografii, materiale din activitățile școlare și extrașcolare preferate de elevi: „Ce îmi place să fac la școală”, „Ce îmi place să fac în timpul liber” și introducerea rezultatelor în portofoliul personal de învățare","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Luarea deciziilor legate de continuarea studiilor şi carieră prin valorificarea informațiilor despre sine, educație și ocupații"
"Identificarea unor ocupații din domenii diferite de activitate și a beneficiilor acestora pentru persoană și pentru societate","4.2.","consEd5-4.2","documentarea și prezentarea de către elevi a unor fișe ale unor ocupații „Dacă aș fi șofer/asistentă medicală/ inginer/ cercetător etc. unde aș lucra/în ce condiții/ce calități personale /ce pregătire ar fi necesare/ce stil de viață as avea/aș putea găsi un loc de muncă/ce salariu aș avea/aș putea să inventez ceva nou” și introducerea rezultatelor în portofoliul personal de învățare","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Luarea deciziilor legate de continuarea studiilor şi carieră prin valorificarea informațiilor despre sine, educație și ocupații"
"Identificarea unor ocupații din domenii diferite de activitate și a beneficiilor acestora pentru persoană și pentru societate","4.2.","consEd5-4.2","realizarea unui eveniment de prezentare a unor profesii tradiționale, actuale, de viitor, de tipul: „Carnavalul profesiilor”","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Luarea deciziilor legate de continuarea studiilor şi carieră prin valorificarea informațiilor despre sine, educație și ocupații"
"Identificarea unor ocupații din domenii diferite de activitate și a beneficiilor acestora pentru persoană și pentru societate","4.2.","consEd5-4.2","organizarea unor vizite pe plan local la: biblioteci, bănci, cabinete din domeniul juridic, companii pentru familiarizarea cu diferite domenii de activitate și medii de lucru","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Luarea deciziilor legate de continuarea studiilor şi carieră prin valorificarea informațiilor despre sine, educație și ocupații"
"Identificarea unor ocupații din domenii diferite de activitate și a beneficiilor acestora pentru persoană și pentru societate","4.2.","consEd5-4.2","elaborarea și rezolvarea în perechi a unui careu de cuvinte încrucișate, care să conțină ocupații din diferite domenii de activitate","Consiliere și dezvoltare personală","consEd5","cl5","Ordin al ministrului educației naționale nr. 3393 / 28.02.2017","Luarea deciziilor legate de continuarea studiilor şi carieră prin valorificarea informațiilor despre sine, educație și ocupații"
