"nume","ids","cod","activitate","disciplină","coddist","nivel","act normativ","competență generală"
"Identificarea principalelor îndatoriri ale unui creștin în relație cu semenii, pe baza valorificării unor experiențe din viața cotidiană","1.2.","relOrt3-1.2","lectura unor texte relevante, biblice și din viețile sfinților","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Identificarea principalelor îndatoriri ale unui creștin în relație cu semenii, pe baza valorificării unor experiențe din viața cotidiană","1.2.","relOrt3-1.2","jocuri de rol „Cum mă comport în situația…”, în relație cu diferite contexte relevante (alegerea binelui/ răului, comportamentul în relație cu semenii, comportamentul în relație cu diferite viețuitoare)","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Identificarea principalelor îndatoriri ale unui creștin în relație cu semenii, pe baza valorificării unor experiențe din viața cotidiană","1.2.","relOrt3-1.2","recunoașterea unor atitudini față de ceilalți, pornind de la imagini, povești, filme adecvate vârstei elevilor, observarea unor comportamente etc","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Identificarea principalelor îndatoriri ale unui creștin în relație cu semenii, pe baza valorificării unor experiențe din viața cotidiană","1.2.","relOrt3-1.2","discuții privind rolul muncii și al efortului în viața omului, rolul profesorilor în viața omului","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Identificarea principalelor îndatoriri ale unui creștin în relație cu semenii, pe baza valorificării unor experiențe din viața cotidiană","1.2.","relOrt3-1.2","exerciții de identificare și valorizare a propriilor calități, prin desene, dialoguri, jocuri","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Formularea unor reguli de comportament moral-creștin, pentru diferite contexte de viață familiare","1.3.","relOrt3-1.3","stabilirea, cu ajutorul profesorului, în grupuri mici și/ sau la nivelul clasei, a unor reguli de comportament adecvate vârstei elevilor și diferitelor contexte (școală, familie, biserică, stradă, natură etc.), relevante din perspectivă moral-religioasă","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Formularea unor reguli de comportament moral-creștin, pentru diferite contexte de viață familiare","1.3.","relOrt3-1.3","analiza unor situații privind respectarea anumitor reguli de comportament moral-creștin în diferite contexte date (jocuri de rol, povestiri, analiza unor imagini, filme, desene animate)","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Formularea unor reguli de comportament moral-creștin, pentru diferite contexte de viață familiare","1.3.","relOrt3-1.3","studii de caz, pornind de la situații reale sau imaginare familiare, care evidențiază importanța respectării unor reguli de comportament moral-religios","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Formularea unor reguli de comportament moral-creștin, pentru diferite contexte de viață familiare","1.3.","relOrt3-1.3","dialog pe tema regulilor de comportament religios pentru primirea unor Sfinte Taine, adecvate vârstei elevilor: „Cum procedez când mă spovedesc?”; „Cum procedez când merg să mă împărtășesc ...?”, „Ce fac după ce primesc Sfânta Împărtășanie?”","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Formularea unor reguli de comportament moral-creștin, pentru diferite contexte de viață familiare","1.3.","relOrt3-1.3","jocuri de rol: „Cum procedez în situația...?”; „Ce fac atunci când cineva îmi spune să fac un lucru bun/rău…?”","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Formularea unor reguli de comportament moral-creștin, pentru diferite contexte de viață familiare","1.3.","relOrt3-1.3","vizite în diferite contexte de educație nonformală/ informală (bibliotecă, parc, muzeu etc.), în cadrul unor activități interdisciplinare Religie – Educație civică – Științe – Arte","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Aplicarea unor norme de comportament specific moralei religioase, în diferite contexte de viață"
"Exersarea unor roluri în cadrul grupurilor de apartenență","2.1.","relOrt3-2.1","exerciții de identificare a rolurilor sociale ale unui elev, în raport cu persoanele importante din viața sa de creștin (părinții, preotul, nașii, creștinii din parohie, prietenii etc. )","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Exersarea unor roluri în cadrul grupurilor de apartenență","2.1.","relOrt3-2.1","participarea la diferite activități educative, împreună cu alți membri ai școlii, comunității, parohiei etc","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Exersarea unor roluri în cadrul grupurilor de apartenență","2.1.","relOrt3-2.1","studii de caz pe tema importanței fiecărui om în viața semenilor din grupurile de apartenență","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Exersarea unor roluri în cadrul grupurilor de apartenență","2.1.","relOrt3-2.1","exersarea unor responsabilități și sarcini de lucru variate, în activitățile de tip perechi și în cele de grup","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Exersarea unor roluri în cadrul grupurilor de apartenență","2.1.","relOrt3-2.1","asumarea de roluri în rezolvarea unor sarcini de lucru în grupuri mici","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Exersarea unor roluri în cadrul grupurilor de apartenență","2.1.","relOrt3-2.1","exerciții de construire a unui text pe teme de educație religioasă, pe baza unui suport vizual sau a unui plan de idei","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Descrierea unor tipuri de relații și atitudini sociale, din perspectiva moralei religioase, pornind de la situații concrete","2.2.","relOrt3-2.2","participarea la dialoguri pe diferite teme: „Ce învăț de la colegii mei și ce pot învăța ei de la mine?”, „Cum pot să răsplătesc răul cu bine?”","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Descrierea unor tipuri de relații și atitudini sociale, din perspectiva moralei religioase, pornind de la situații concrete","2.2.","relOrt3-2.2","exerciții de identificare a unor elemente de diversitate în modul de manifestare a credinței diferitelor persoane, pornind de la realități din viața școlii și a comunității","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Descrierea unor tipuri de relații și atitudini sociale, din perspectiva moralei religioase, pornind de la situații concrete","2.2.","relOrt3-2.2","audierea unor texte religioase simple, în proză sau în versuri, în care se reflectă ideea de adevăr, respect, blândețe","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Descrierea unor tipuri de relații și atitudini sociale, din perspectiva moralei religioase, pornind de la situații concrete","2.2.","relOrt3-2.2","imaginarea unor povestiri privind raporturile persoanei cu diferite lucruri, ființe","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Descrierea unor tipuri de relații și atitudini sociale, din perspectiva moralei religioase, pornind de la situații concrete","2.2.","relOrt3-2.2","discuții despre relațiile și atitudinile care se manifestă în cadrul diferitelor grupuri (familie, clasă, grupul de prieteni etc.), pe baza unor imagini","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Descrierea unor tipuri de relații și atitudini sociale, din perspectiva moralei religioase, pornind de la situații concrete","2.2.","relOrt3-2.2","elaborarea de compuneri/ lecturarea de povestiri/ jocuri de rol cu scopul evidențierii unor relații în cadrul grupurilor","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Colaborarea cu copiii și cu adulții din mediul familiar, în acord cu valorile religioase"
"Analizarea semnificației unor evenimente religioase din viața comunității","3.1.","relOrt3-3.1","formularea de întrebări referitoare la diferite evenimente religioase din viața comunității","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Explorarea activă a unor elemente din viața de zi cu zi, din perspectiva propriei credințe"
"Analizarea semnificației unor evenimente religioase din viața comunității","3.1.","relOrt3-3.1","povestirea după imagini (planșe, icoane, ilustrații etc.) cu tematică adecvată","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Explorarea activă a unor elemente din viața de zi cu zi, din perspectiva propriei credințe"
"Analizarea semnificației unor evenimente religioase din viața comunității","3.1.","relOrt3-3.1","dialoguri pe baza lecturii unor texte biblice și din viețile sfinților","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Explorarea activă a unor elemente din viața de zi cu zi, din perspectiva propriei credințe"
"Analizarea semnificației unor evenimente religioase din viața comunității","3.1.","relOrt3-3.1","utilizarea unor icoane pentru a descrie evenimente din viața Mântuitorului, a Maicii Domnului și a unor sfinți","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Explorarea activă a unor elemente din viața de zi cu zi, din perspectiva propriei credințe"
"Analizarea semnificației unor evenimente religioase din viața comunității","3.1.","relOrt3-3.1","audierea/învățarea de rugăciuni, cântări, colinde etc., cu explicarea semnificației acestora, a expresiilor și a termenilor religioși","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Explorarea activă a unor elemente din viața de zi cu zi, din perspectiva propriei credințe"
"Analizarea semnificației unor evenimente religioase din viața comunității","3.1.","relOrt3-3.1","imaginarea unor povestiri privind relația persoanei cu diferite lucruri, ființe","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Explorarea activă a unor elemente din viața de zi cu zi, din perspectiva propriei credințe"
"Analizarea semnificației unor evenimente religioase din viața comunității","3.1.","relOrt3-3.1","participarea la evenimente semnificative din viața școlii și a comunității","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Explorarea activă a unor elemente din viața de zi cu zi, din perspectiva propriei credințe"
"Prezentarea importanței unor sărbători și evenimente cu semnificații religioase, din viața familiei și a comunității","3.2.","relOrt3-3.2","discuții privind evenimentele importante din viața omului (nașterea, botezul, nunta etc.), valorificând experiențele concrete ale copiilor","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Explorarea activă a unor elemente din viața de zi cu zi, din perspectiva propriei credințe"
"Prezentarea importanței unor sărbători și evenimente cu semnificații religioase, din viața familiei și a comunității","3.2.","relOrt3-3.2","analizarea unor imagini relevante din viața copiilor și a familiilor lor (fotografii și albume de familie, imagini din sfera publică)","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Explorarea activă a unor elemente din viața de zi cu zi, din perspectiva propriei credințe"
"Prezentarea importanței unor sărbători și evenimente cu semnificații religioase, din viața familiei și a comunității","3.2.","relOrt3-3.2","prezentarea aspectelor caracteristice ale diferitelor sărbători (Nașterea Domnului, Botezul Domnului, Învierea Domnului, Înălțarea Domnului)","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Explorarea activă a unor elemente din viața de zi cu zi, din perspectiva propriei credințe"
"Prezentarea importanței unor sărbători și evenimente cu semnificații religioase, din viața familiei și a comunității","3.2.","relOrt3-3.2","lectura unor texte literare referitoare la marile sărbători creștine","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Explorarea activă a unor elemente din viața de zi cu zi, din perspectiva propriei credințe"
"Prezentarea importanței unor sărbători și evenimente cu semnificații religioase, din viața familiei și a comunității","3.2.","relOrt3-3.2","audierea/ învățarea unor colinde și cântări religioase","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Explorarea activă a unor elemente din viața de zi cu zi, din perspectiva propriei credințe"
"Prezentarea importanței unor sărbători și evenimente cu semnificații religioase, din viața familiei și a comunității","3.2.","relOrt3-3.2","participarea la serbări școlare","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Explorarea activă a unor elemente din viața de zi cu zi, din perspectiva propriei credințe"
"Prezentarea importanței unor sărbători și evenimente cu semnificații religioase, din viața familiei și a comunității","3.2.","relOrt3-3.2","realizarea unor proiecte pe diferite teme interdisciplinare: Religie – Științe (de exemplu, „Apa în viața creștinului”, „Natura, darul lui Dumnezeu pentru om” etc.); Religie – Arte („Darul meu pentru tine” – realizarea unor desene și confecționarea unor felicitări, ornamente, colaje etc., cu ocazia diferitelor sărbători religioase)","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Explorarea activă a unor elemente din viața de zi cu zi, din perspectiva propriei credințe"
"Prezentarea importanței unor sărbători și evenimente cu semnificații religioase, din viața familiei și a comunității","3.2.","relOrt3-3.2","identificarea unor obiceiuri și tradiții populare referitoare la diferite sărbători și evenimente religioase, care se manifestă în viața familiei, a comunității locale","Religie cultul ortodox","relOrt3","cl3","Ordinul ministrului educației naționale nr. 5001 / 02.12.2014","Explorarea activă a unor elemente din viața de zi cu zi, din perspectiva propriei credințe"
